counter,Number present,Missing,source,Binomial,rpl1p,rpl3,rpl4,rpl5,rpl6,rpl7,rpl7a,rpl7x1,rpl7x2,rpl8,rpl9,rpl10,rpl10a,rpl11,rpl12,rpl13,rpl13a,rpl14 mito,rpl14reg,rpl15,rpl17,rpl18a,rpl18,rpl19,rpl21,rpl22,rpl23,rpl23a,rpl23z,rpl24,rpl26,rpl27,rpl30,rpl31,rpl32,rpl33mito,rpL34,rpl35,rpl35a,rpl36e,rpl37,rpl42,rps0,rps2,rpS3,rps3z,rps4,rps5,rps6,rps7,rps8,rps9,rps10,rps11,rps12m,rps13,rps14,rps15,rps15a,rps16,rps17,rps18,rps19,rps20,rps21,rps23,rps24,rps25,rps26a,rps27,rps28,rps29,rps30
48,68,5,local,Polarella glacialis,comp46326_c0_seq1,comp419,comp739_c0_seq1,comp141_c0_seq1,comp25300_c0_seq1,comp491_c0_seq6,comp5510_c0_seq4,comp2017_c0_seq1,NaN,comp210_c2_seq4,comp368_c1_seq5,comp229,comp626_c0_seq3,comp223_c1_seq5,comp903_,comp535_c0_seq1,comp708_c1_seq4,comp25823_c0_seq1,comp1342_c0_seq2,comp534_c0_seq4,NaN,comp498_c0_seq2,comp986_c0_seq2,comp653_c1_seq3,comp6564_c0_seq2,comp342_c0_seq7,comp870_c0_seq1,comp527_c0_seq2,comp41721_c0_seq1,comp5016_c0_seq1,comp3715_c0_seq1,comp606_c0_seq1,comp1355_c0_seq1,comp1318_c1_seq1,comp62_c0_seq7,comp95270_c0_seq1,comp1990_c0_seq3,comp1004_c0_seq1,comp1308_c1_seq1,comp470_c0_seq4,comp969_c0_seq4,comp806_c2_seq5,comp350_c0_seq4,comp3983_c0_seq1,NaN,comp337_c0_seq2,comp22_c2_seq5,comp828_c0_seq1,comp414_c3_seq5,comp440_c0_seq1,comp238_c0_seq1,comp440_c1_seq2,comp426_c0_seq3,comp317_c0_seq2,comp979_c0_seq4,comp1081_c0_seq1,comp3888_c0_seq1,comp320_c0_seq1,comp913_c0_seq1,comp12470_c0_seq1,NaN,comp15389_c0_seq1,NaN,comp16143_c0_seq1,comp1392_c1_seq4,comp801_c0_seq2,comp492_c1_seq2,comp189_c0_seq4,comp804_c1_seq1,comp211_c0_seq1,comp8357_c0_seq1,comp905_c0_seq2,comp1398_c0_seq3
49,19,54,db_est,Alexandrium minutum,NaN,NaN,NaN,NaN,297645029,297649179,NaN,NaN,297638672,NaN,297649810,NaN,297640776,297650749,297648208,NaN,NaN,297652754,NaN,NaN,NaN,297643104,NaN,NaN,297651946,297653906,NaN,NaN,NaN,NaN,NaN,297640805,NaN,NaN,297652421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,297647831,NaN,NaN,297636811,NaN,NaN,NaN,297650229,NaN,297642583,NaN,297642715,NaN,297654035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,15,58,db_est,Alexandrium catenella,NaN,186959879,186961407,186958764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,186955931,NaN,186956417,NaN,186959175,NaN,186953839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,186953384,NaN,NaN,NaN,NaN,186956188,NaN,186953240,NaN,186962915,186957443,NaN,NaN,186954095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,186957262,NaN,NaN,NaN,NaN,186954479,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,45,28,db_est,Alexandrium tamarense,NaN,54437251,NaN,NaN,38452856,42750243,NaN,NaN,38451954,NaN,42750425,42748805,42750971,54438234,54436475,NaN,37760267,NaN,40759771,37648261,40759832,58179869,NaN,37760140,38453084,NaN,40756765,NaN,NaN,NaN,40757537,42752092,42750453,40756946,40759592,NaN,42748769,40759480,40758576,NaN,NaN,42748161,NaN,40754868,38452627,NaN,42751845,NaN,54436090,40757405,NaN,NaN,42748729,42752193,54436192,NaN,NaN,42749651,40754885,NaN,40758541,40756146,NaN,40758343,NaN,37760016,38452239,42749473,NaN,42752169,40755966,NaN,58179676
52,69,4,www,Alexandrium tamarense,NaN,NaN,at08493,at09020,at34634,at04117,at22728,at03772,at22917,at15816,at30742,at04994,at07822,NaN,at26175,at26038,at10352,at26898,at25187,at23053,at20433,at32936,at09817,at20863,at08094,at19454,at29463,at27976,NaN,at03133,at34790,at11421,at28150,at13464,at10612,at25871,at19848,at05438,at17117,at16778,at33131,at01482,at14378,at15195,at00479,at01688,at15095,at01746,at10529,at08866,at21186,at16364,at13307,at29289,at06371,at30040,at08395,at34169,at01352,at11420,at33926,at27037,at16185,at33329,at07614,at14009,at30665,at16946,at30558,at26703,at31787,at22328,at20313
53,73,0,www,Lingulodinium polyedrum,346268737,346279628,346244372,346231042,346297673,346276810,346248202,346253609,346252918,346273383,346273961,346281440,346246723,346241843,346294255,346251507,346262112,346255001,346231053,346285850,346265218,346243840,346270338,346255073,346263390,346255527,346275395,346243220,346252689,346261040,346253467,346266885,346249209,346255596,346237628,346280405,346233467,346248533,346277153,346264895,346264707,346259326,346300479,346257993,346303639,346257647,346249737,346281952,346241156,346300330,346257703,346254208,346255985,346276000,346245363,346232747,346232780,346251619,346293777,346233200,346255072,346277392,346232021,346297988,346250817,346254584,346305800,346286015,346249861,346238818,346268040,346259633,346238439
54,69,4,nr_nt,Chromera velia,343857794,343867225,NaN,343854970,343867979,343876805,343876965,343852419,343874477,343859063,343852248,343851390,343852227,343866602,343850724,343851045,343859025,343866835,343863610,343860844,343859669,343867782,343868533,343873106,343856411,343871218,343857360,343855005,343876815,343858964,343867126,343868854,NaN,343862152,343868544,NaN,343851699,343856248,343859972,343856557,343873959,343855410,NaN,343872313,343865850,343860965,343860640,343869524,343858124,343871497,343871198,343864282,343851140,343861384,343860976,343874267,343875697,343852926,343859257,343851716,343873612,343868126,343869683,343863312,343864609,343853151,343868871,343859529,343871002,343862987,343876664,343876250,343876365
55,68,5,nr_nt,Gregarina niphandrodes,NaN,338240875,338240959,338246306,NaN,338239417,338242690,338239162,338243374,338241023,338242548,338240698,338244961,338243594,338242696,338239080,338241348,NaN,338240452,338244949,338243000,338239642,338241676,338240579,338241320,338241131,338241692,338243256,NaN,338241644,338242399,338240747,338241758,338240813,338240606,NaN,338240670,338242882,338243192,338242361,338241305,338242361,338242199,338244985,338239752,338240535,338241448,338242740,338240417,338241049,338241498,338241664,338240543,338241332,338241131,338242415,338240509,338240855,338242636,338240450,338241316,338242215,338241616,338241764,338244915,338241714,338239495,338244919,338240849,338240523,338241043,338242371,338242327
56,69,4,refseq,Cryptosporidium muris,NaN,209875731,209881791,209876676,209879385,209876674,209877733,209875515,209876009,209879876,209876668,209882451,209877180,209878376,209876251,209882947,209875855,NaN,209876241,209878874,209881211,209881291,209878985,209881929,209878316,209879944,209877328,209876726,NaN,209878193,209882510,209881630,209881949,209877791,209881821,NaN,209881205,209876169,209879972,209880752,209880888,209879830,209880367,209880443,209877955,209879906,209879451,209882425,209882701,209875439,209882512,209876962,209875485,209882991,209882136,209875593,209881329,209881789,209876011,209882945,209882132,9880283,209880590,209878141,209880040,209878548,209878850,209878692,209881478,209879738,209881033,209881093,209877703
57,68,5,refseq,Cryptosporidium parvum,NaN,126649185,126649327,66356654,66363262,66356652,66475814,66358044,66361594,66362842,66356646,66475872,66360018,66475518,66359054,126644220,66357740,NaN,66359046,66356438,66360360,66362516,66356952,66359496,66475570,66362898,66475246,66356692,NaN,66363416,66475950,66362304,66359514,66357300,66475726,NaN,66360398,66358974,66362920,66362084,66358494,66362798,66359200,66356488,66357444,66362866,126654348,66475896,66358854,66358116,66475952,126654511,66358072,NaN,66356722,66357962,66362484,66475696,66361601,66358632,66356718,66359256,66361940,66363366,66361852,126649277,66356416,66358314,66362190,66362728,66358614,66361305,66475790
58,59,14,refseq,Cryptosporidium hominis,NaN,67594775,67619485,67597151,67623283,67597170,67609491,67623361,67594921,67609998,67591332,67592553,67623427,67619305,67616823,67608967,67624381,NaN,67616909,67598198,67624507,67624159,67605143,67589531,67624121,67609641,67594829,67602091,NaN,67603883,67623663,67623457,NaN,NaN,67612823,NaN,67624513,67607976,67594793,67594949,67589337,NaN,67624811,67591835,67624709,67614912,67621222,67591273,67594839,67601937,67623665,67595276,67602019,NaN,67593442,67615320,67623403,67619412,67594923,67608989,67593421,67616771,67613936,67601021,NaN,NaN,67586139,67624243,NaN,67624627,NaN,NaN,NaN
59,63,10,db_est,Eimeria tenella,NaN,179134605,NaN,100456152,8320933,179134562,339870069,179134564,179134475,31993537,179134829,100455827,18056285,31135736,179134706,31137781,31138546,NaN,31990404,225383980,339864463,31992611,18056273,179134836,NaN,13395765,31991199,16138333,NaN,31612573,100456361,100456782,31996879,32159011,339880944,NaN,31991102,NaN,5150672,18038601,31613474,339869908,NaN,179134847,179134183,31993839,31990371,339871978,18037970,225383793,179134618,NaN,100457257,31990763,31135426,4877206,100456101,126025981,4877091,16138219,31994447,31138506,31094582,5149367,18037593,31135197,339870152,18037381,NaN,18003248,18038087,18037265,4876778
60,49,24,db_est,Eimeria maxima,NaN,225383903,225385623,225383946,225384366,NaN,225383858,NaN,225383963,339872756,225384297,225384816,225384496,225384304,NaN,225386072,225384567,NaN,225384738,225383980,NaN,NaN,339854216,NaN,225385391,225384456,225385649,225384732,NaN,NaN,NaN,225385033,225383727,225384944,225386222,339859717,225385070,225383938,225383741,225385440,NaN,NaN,225384344,NaN,225383826,NaN,225384365,225384889,339872983,225383793,NaN,225384057,225383962,NaN,NaN,225383817,NaN,225385213,NaN,339865098,NaN,25385427,225384346,225386199,NaN,225384202,225383876,225384149,225383961,225384713,NaN,NaN,339857347
61,53,20,db_est,Eimeria acervulina,NaN,164121170,164123090,164087772,164116393,164109217,NaN,NaN,164003107,164048973,164098113,339846232,164052913,339842539,164083271,164027979,163995294,NaN,164091075,163984186,164007047,164085022,164102072,164139476,164103918,164140374,NaN,164091076,NaN,NaN,164003108,NaN,NaN,164097141,339851190,NaN,NaN,NaN,164121165,NaN,NaN,163982374,164138578,164084153,164096143,163999205,163999214,164141307,164110109,164051589,164101086,164090262,NaN,NaN,164048995,NaN,164109214,339844197,164097143,163993373,164027969,164051588,164096153,NaN,164095166,164009008,NaN,163995290,164098122,163991528,163993369,164104674,NaN
62,54,19,db_est,Sarcocystis neurona,NaN,52123277,NaN,22526425,22526676,18036422,21896589,NaN,50884148,NaN,22527213,NaN,22526574,22526800,50884797,22527369,21896210,NaN,51296091,21993363,NaN,21896233,18036609,NaN,50883985,21896881,52121762,52123123,NaN,NaN,18035524,50884297,52122021,51569134,52862880,NaN,22527611,NaN,21992772,21992857,NaN,NaN,11273416,18036390,NaN,9918996,NaN,18035332,NaN,52122603,21993215,21992916,22526527,21896930,21896614,21896369,NaN,17888405,50883085,51295934,18035676,51569091,22526387,22527442,18036786,18036569,17888305,50884077,NaN,50884063,50884073,22526617,22526859
63,48,25,db_est,Sarcocystis falcatula,NaN,77058242,NaN,NaN,NaN,NaN,77050339,NaN,77056716,NaN,77053424,77059022,77050395,77056447,77048637,77056214,77055380,NaN,77052377,77055187,77053844,77048281,NaN,77049322,77051420,77059165,77059309,77050977,NaN,NaN,77051377,NaN,77049169,77055096,77058994,NaN,77054180,77050925,77048731,NaN,77053442,NaN,77053649,NaN,77053838,77052343,NaN,NaN,NaN,77054601,77050359,77055914,NaN,77057472,77057284,77055670,77054713,77048061,77050959,77053111,NaN,77053824,NaN,77051113,77049509,77049558,77052742,NaN,NaN,77048549,NaN,77051094,77054647
64,73,0,refseq,Toxoplasma gondii,237840075,237834163,237829767,237841149,237830505,237831983,237839447,237836115,237830747,237836773,237839713,237838029,237843137,237829863,237840401,237832215,237838515,237833801,237838975,237834343,237844951,237832139,237844851,237838161,237835401,237834635,237830267,237834391,237831883,237834981,237835777,237832143,237837591,237838817,237839021,237829729,237834191,237836131,237835923,237834439,237834551,237836695,237838815,237842073,237837685,237837605,237840521,237834931,237843853,237834525,237835357,237835795,237844621,237834105,237836935,237832833,237832345,237843553,237839175,237832213,237840579,37833767,237845065,237841589,237831681,237837207,237843135,237837435,237835117,237844053,237840781,237834933,237838459
65,73,0,refseq,Neospora caninum,325114707,325118597,325119378,325114995,325119691,325117251,325119083,325120647,325119794,325116767,325116168,325115488,325119259,325119415,325114848,325117146,325115710,325118763,325115273,325118516,325114918,325117179,325120490,325115548,325120315,325116293,325119593,325116196,325117299,325116425,325120456,325117175,325117884,325118821,325115248,325119359,325118584,325120655,325120565,325116217,325116254,325116797,325118820,325115780,325117928,325117891,325114207,325116405,325115189,325116243,325120292,325120464,325114682,325118621,325116696,325118295,325117085,325115985,325118979,325117147,325114233,325118781,325118929,325114575,325117388,325117711,325119258,325117813,325116485,325120255,325114326,325116406,325115702
66,71,2,refseq,Babesia bovis,156087068,156082902,156085304,156089549,156084266,156089547,156089383,156085066,156087653,156089787,156086254,156089531,156088087,156086132,156084702,156086114,156084640,156084630,NaN,156087567,156083152,156088375,156088377,156082964,156089535,156084454,156088723,156087773,156087390,156086406,156089177,156089563,156088781,156086734,156088017,NaN,156083699,156086644,156087851,156084772,156088311,156084300,156089135,156084069,156087753,156084414,156088951,156082401,156088381,156089305,156083407,156084614,156089289,156084994,156087677,156083026,156084712,156085092,156089589,156086112,156087727,156086130,156087679,156084884,156089113,156087651,156084734,156087070,156088039,156088163,156083811,156088211,156087875
67,59,14,db_est,Babesia equis,NaN,310891048,310891059,310889460,310887335,310885129,310885989,310885778,310884888,310891671,310889042,310885781,310886896,310887617,310885187,310888677,310887657,NaN,NaN,310885351,310889003,310885802,310888963,310887563,310886024,310887282,310889675,310887715,310891454,310885403,310885945,310885760,310888863,310888717,NaN,NaN,310889008,310887901,NaN,310886801,NaN,NaN,310892104,310888058,310889874,310888279,310888352,310887269,310885650,310887482,310886823,310885373,310886884,310885100,NaN,310885765,310887559,310887540,310887197,310888542,310886088,310885946,310888686,310891447,NaN,NaN,310888486,310887439,310887661,NaN,310887613,NaN,NaN
68,70,3,refseq,Theileria annulata,84998818,84998984,84994848,84995804,84996861,84995802,84997583,84996009,85001433,84998006,84999220,84995786,84996167,84999322,84996459,84999596,84996661,84996671,84998772,85001454,84994548,84994378,84994382,85000287,84995792,84996675,84995348,85001319,84997846,85000393,84997367,84995814,84995386,84998260,84996123,NaN,85000935,84998176,85001117,84996377,84995520,84996843,84997323,84994434,85001345,84996723,84997205,85001648,84995012,84997505,84994094,84996521,84997491,84995402,85001383,84999094,84996447,84996041,84995840,84999594,NaN,84999324,85001381,84996235,84997299,85001435,84996427,84998826,84998146,85000101,85000793,84995542,NaN
69,72,1,refseq,Theileria parva,71033067,71032875,71030984,71030018,71028970,71030020,71029772,71028048,71026386,71033861,71032597,71030040,71028234,71032475,71028548,71032169,71028758,71028768,71033109,71026410,71031290,71031456,71031452,71027075,71030032,71028772,71030494,71026250,71034013,71027195,71029528,71030010,71030458,71033607,71028172,NaN,71027743,71033687,71027975,71028460,71030318,71028946,71029482,71031410,71026281,71028826,71029346,71026645,71030822,71029676,71031748,71028602,71029660,71030444,71026326,71032761,71028538,71028084,71029982,71032171,71026310,71032473,71026324,71028308,71029458,71026388,71028516,71033065,71033719,71026855,71027609,71030292,71027901
70,71,2,refseq,Plasmodium falciparum,124511778,124802670,124506063,124808771,124513506,258597720,124804166,NaN,124504809,124506257,124513230,124808442,124809402,124511928,296004544,124512504,124801997,296004564,124809020,296004424,124513742,124513556,296005478,296004668,124808810,124512350,124513388,124513236,124806655,124506043,124504913,258597884,124802443,124505997,124506631,258537826,124511772,258597310,124804772,258597233,296004820,124504755,124802649,124809606,124505117,124810210,258597201,124511970,124513570,124512798,124808201,124506321,124511930,124505009,124504807,124513900,124506243,296005391,124504993,124512506,124806733,124804238,124505571,124801981,124804821,124504805,124506309,NaN,124801397,124512908,124810100,296004806,124801435
71,71,2,refseq,Plasmodium vivax,156094882,156081997,156094412,156102056,156096266,156102054,156098677,NaN,156094111,156095508,156099270,156102234,156100503,156093566,156095506,156102969,156096629,156095462,156101928,156098015,156096516,156096316,156096318,156100933,156102036,156097825,156096144,156099264,156095785,156094390,156094213,156100103,156093377,156094350,156097090,156093990,156094876,156098699,156099073,156098376,156094794,156094057,156082017,156100389,156096901,156100003,156098302,156093534,156096330,156102533,156102348,156095444,156093564,156097005,156094109,156101355,156095522,156102825,156097021,156102971,156095837,156098723,156098183,156096619,156099101,156094107,156095456,NaN,156093661,156102639,156100091,156094780,156093637
72,71,2,refseq,Plasmodium knowlesi,221052022,221054097,221057215,221060254,221058641,221060252,221056206,NaN,221055669,221057019,221058929,221060408,221059631,221052786,221057017,221061157,221055061,221056969,221060122,221053670,221058379,221058593,221058591,221058038,221060236,221053464,221058749,221058923,221061727,221057237,221055559,221059235,221053921,221057283,221054342,221053115,221052016,221056228,221056580,221055910,221051936,221055731,221054077,221059517,221055353,221059123,221055832,221052826,221058579,221060701,221060532,221056951,221052788,221055489,221055671,221057588,221057033,221061009,221055505,221061159,221061859,21056254,221053800,221055051,221056610,221055673,221056963,NaN,221052965,221060813,221059223,221051922,221052943
73,66,7,refseq,Plasmodium chaubadi,70952237,70927424,70952565,70950764,70941886,70950766,70947391,NaN,70954200,70953537,70953061,70950044,70953609,70943404,70953539,70947880,70951318,70945029,70952063,70950846,70951972,70951563,70936256,70941162,NaN,70943789,70930748,70937985,70947016,70940784,70953421,NaN,70931735,70950932,70947906,70952477,70939353,70951447,70937050,NaN,NaN,70928074,70948671,70941721,70926923,70947163,70946979,70945908,70936814,NaN,70947134,70940074,70936571,70937128,70954206,70938786,70938201,70945946,70925667,70951553,70917624,70943818,70930123,70938247,70952267,70954208,70947328,NaN,70934681,70931099,70924323,70953669,70952153
74,67,6,refseq,Plasmodium berghei,68065089,68065494,68068601,68070119,68073533,68063551,68068081,NaN,68071157,68075667,68072635,68066022,68076911,68075317,68075663,68072943,68070607,68068641,68072001,68075795,68074749,68073473,68067787,68069033,68076113,68067430,68075865,NaN,68073817,68074139,68076169,68059476,68067530,68072227,68068793,NaN,68075091,NaN,68061525,68064673,68073933,68076351,68069781,68067285,68060075,68070737,68073433,68067854,68065125,68072845,68069445,68069555,68075319,68067397,68071155,68073571,68072747,68072555,68071429,68072945,68074955,68069309,68067235,68068667,68072979,68071153,68075763,NaN,68071353,68076553,68070679,NaN,68069951
75,64,9,refseq,Plasmodium yoelli,82596540,82596814,82705099,82705794,83315079,82705796,83317303,NaN,82596445,82540649,83033193,82794128,82595251,83314399,82540651,82705807,82793887,82704672,83286156,83315314,82753814,83032675,83032673,82595686,82594760,82540377,82794048,NaN,83315591,82596848,82541101,NaN,82594928,83318078,82914861,NaN,82593973,68531964,82596382,82753019,83315279,83317413,82704653,82752715,83286443,NaN,82539137,82704680,82705619,82539474,83273616,83286205,83314401,82752681,82596443,82539545,83273504,83282342,82594213,82705805,82540018,82794396,82539918,82753933,NaN,82596441,82705071,NaN,82541629,83317360,82540107,NaN,NaN
